,p_win_stay,p_loss_shift,env,subj,night,negLL
0,0.750000045499494,0.32558136708372754,Stable,2,1,41.322400342014525
1,0.7272727697670083,0.49230768852895607,Stable,2,2,97.30382091650684
2,0.5853658738221209,0.3913043175626777,Stable,2,3,90.08982896105628
3,0.49230768551775467,0.7042253898568932,Stable,2,4,88.8541437121282
4,0.6562500288834049,0.5537190118521829,Volatile,3,1,125.04768137733838
5,0.5573770583324925,0.5257731943253834,Volatile,3,2,109.6789212834579
6,0.499999987695352,0.451612883904939,Volatile,3,3,41.443430111709866
7,0.6521739224878554,0.3513513386054429,Volatile,3,4,39.53954578944545
8,0.0,0.7777778322398702,Stable,4,1,10.227854663598121
9,0.7926829819631419,0.36538458491802506,Stable,4,2,76.67988229773732
10,0.5833333383072281,0.4516128907371188,Stable,4,3,38.335948239827935
11,0.6666666945136551,0.4166666528601693,Stable,4,4,24.1197990115345
12,0.42222219480914147,0.5473684191665343,Volatile,5,1,127.40505923544468
13,0.5633802875039635,0.6052631758480079,Volatile,5,2,100.31691552029746
14,0.6170213010853486,0.5230769206507723,Volatile,5,3,76.95710251642366
15,0.6538461725906266,0.3958333118854999,Volatile,5,4,66.4565797175244
16,0.6929825008089986,0.44444442743148505,Stable,6,1,126.64005630489535
17,0.7735849569845048,0.33980579212663103,Stable,6,2,123.40675863597158
18,0.8148148750107965,0.3333332967924277,Stable,6,3,111.2094849281078
19,0.9090909847078281,0.41463413445369546,Stable,6,4,62.02162344654946
20,0.77118649225486,0.35416662309531555,Stable,7,1,95.35750732794507
21,0.7867647631782135,0.3421052295092496,Stable,7,2,95.58194908453247
22,0.7000000404286814,0.41071425653251215,Stable,7,3,111.9154062135548
23,0.638095250876421,0.4807692081945465,Stable,7,4,105.42145514071807
24,0.9583334239846788,0.0,Stable,9,1,4.850066742540719
25,0.9104478387528357,0.2105262535198616,Stable,9,2,30.672082892965758
26,0.8250000695365676,0.22222216933268435,Stable,9,3,28.77690455637532
27,0.9024391009189666,0.4444444347029835,Stable,9,4,19.98310569249763
28,0.6486486807431184,0.4666666575172666,Stable,10,1,55.77100869216905
29,0.8383839014371898,0.44999998528203444,Stable,10,2,72.01034688947657
30,0.5858585859242393,0.4285713918403055,Stable,10,3,139.55317299086923
31,0.7777778297235612,0.5945946039992781,Stable,10,4,82.88166325620978
32,0.3018867530574367,0.7746479352462234,Stable,11,1,71.03873780146309
33,0.2523364012578652,0.869918771943242,Stable,11,2,108.68063097950804
34,0.5494505619175766,0.6470588545763772,Stable,11,3,129.54705066414488
35,0.794392582984545,0.5064935007563227,Stable,11,4,108.42334390650255
36,0.7000000359471743,0.3378378026234877,Volatile,12,1,78.56606395128995
37,0.4918032757360785,0.37894734138392916,Volatile,12,2,106.00381043342486
38,0.5172413877076074,0.5643564490467518,Volatile,12,3,110.03006809947946
39,0.5421686670968404,0.5145631107939969,Volatile,12,4,129.279258216397
40,0.797468407781583,0.4827586182758921,Stable,13,1,140.56011434873108
41,0.6750000294584196,0.45833332170472035,Stable,13,2,84.24380821258097
42,0.7500000547247924,0.3333332890873281,Stable,13,3,40.03262403568279
43,0.7575758061668341,0.20833327015627576,Stable,13,4,31.252218915829076
44,0.7647059301622157,0.3518518163341671,Volatile,14,1,63.54206501116944
45,0.9062500710566046,0.14851477407515165,Volatile,14,2,63.03793159515406
46,0.9545455414196133,0.02702692881402385,Volatile,14,3,9.358378945668571
47,0.8428572058664023,0.10294109345483524,Volatile,14,4,53.67807632681443
48,0.9210527102703198,0.7500000504465054,Stable,15,1,17.93641376745553
49,1.0,0.0,Stable,15,2,0.6931440805601086
50,0.8888889611065746,0.2499999484591344,Stable,15,3,19.999114566335784
51,0.8709678094077774,0.31249996101446015,Stable,15,4,22.55135008588792
52,0.5647058915754236,0.5135135080071975,Stable,16,1,135.79564485545464
53,0.754717028314395,0.41304345306685364,Stable,16,2,90.93058804619218
54,0.6140350850198268,0.19999985238310916,Stable,16,3,63.72705289802971
55,0.7681159926164155,0.2499999482863181,Stable,16,4,51.55562969452518
56,0.6756757138675522,0.5783132648872124,Stable,17,1,127.1416099979991
57,0.7117117568925302,0.49999999138043827,Stable,17,2,100.63210295862369
58,0.8281250606821781,0.4186046399513117,Stable,17,3,59.29234120752379
59,0.7941177068413247,0.3749999623500477,Stable,17,4,45.852724813980196
60,0.6086956744553584,0.46666666874674273,Stable,18,1,52.209917371437726
61,0.7142857518515209,0.5454545590264162,Stable,18,2,88.04660072099017
62,0.6790123885868846,0.46938775126833215,Stable,19,1,85.40198498517742
63,0.7258064913532726,0.41379308460501146,Stable,19,2,56.779094187933474
64,0.8837209975552156,0.28571421744828307,Stable,19,3,58.02813692458039
65,0.852459082438993,0.2666666121540782,Stable,19,4,34.915470504144785
66,0.6629213840243516,0.4777777679877041,Volatile,20,1,119.86544552094983
67,0.6979167041908537,0.4249999804914985,Volatile,20,2,114.05292229113597
68,0.844444512649111,0.16867462799593622,Volatile,20,3,77.25706524920561
69,0.8333334024884864,0.0588234381392807,Volatile,20,4,40.23625703181956
70,0.90000007486178,0.07407398438128801,Stable,21,1,17.57503018159654
71,0.9354839520740016,0.33333329133759254,Stable,21,2,17.656580213294987
72,0.7894737211814854,0.3124999426405018,Stable,21,3,20.408932116594283
73,0.9130435623337299,0.5000000009317023,Stable,21,4,11.647125676978888
74,0.44999998365622823,0.38636359714856194,Volatile,22,1,57.57080439043614
75,0.4999999989766943,0.5000000030631914,Volatile,22,2,68.62155107543659
76,0.6571428847431328,0.49999999379156884,Volatile,22,3,45.37577874678259
77,0.7090909482939055,0.33999996112321657,Volatile,22,4,65.90790130751304
78,0.49999999877254303,0.333333299743729,Volatile,23,1,12.49019648345775
79,0.5076922919550633,0.5890410839306564,Volatile,23,2,95.17600628493892
80,0.3999999756531583,0.6666666938603955,Volatile,23,3,38.52339460952136
81,0.6603773880268555,0.3571428304014319,Volatile,23,4,80.27767928665017
82,0.8157895318100493,0.4270833148575548,Volatile,24,1,168.0349856714167
83,0.8461539162889635,0.343434311214573,Volatile,24,2,81.12215201901526
84,0.9736843118693351,0.015384518390070396,Volatile,24,3,10.484092890525831
85,0.9285715072107337,0.19298238657147082,Volatile,24,4,106.1865718681137
86,0.8571429229505224,0.368421017480337,Volatile,25,1,18.93885859991753
87,0.5918367513633251,0.5600000317184773,Volatile,25,2,68.12258725991376
88,0.7187500528565266,0.3333333036600802,Volatile,25,3,42.61980416636942
89,0.607843154979447,0.5365853742666914,Volatile,25,4,63.15716719621436
